-- RU-EN vocabulary file for the WORD SHOT game http://undrev.com/wordshot/
-- Contributors/credits: Undrev, ...
--
-- Some statistics (word's length : count; total words)
-- 3 :  62
-- 4 :  171
-- 5 :  225
-- 6 :  196
-- 7 :  211
-- 8 :  180
-- 9 :  129
-- 10 :  115
-- 11 :  89
-- 12 :  81
-- 13 :  49
-- TOTAL:  1508
энергия = energy
энтузиаст = enthusiast
энциклопедия = encyclopedia
эпиграф = epigraph
эпоха = epoch
эра = era
эрудиция = scholarship
эстет = aesthete
эстетика = aesthetics
этаж = floor
эффект = effect
эффективность = efficiency

юбилей = jubilee
юбка = skirt
ювелир = jeweller
юнец = youngster
юноша = lad

явление = happening
ядро = kernel
язык = language, tongue
языковедение = linguistics
яйцо = egg
яма = pit
ярлык = label
яхта = yacht
ящерица = lizard

